Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
20940870,En tinieblas,Léon Bloy,"Bloy, Léon",,"=""8496501183""","=""9788496501188""",3,4.14,El Cobre,Paperback,111,2006,1918,2022/05/17,2017/11/19,,,read,,,,1,0
106901,Ampliación del campo de batalla,Michel Houellebecq,"Houellebecq, Michel",Encarna Castejón,"=""8433966901""","=""9788433966902""",0,3.57,Editorial Anagrama,Mass Market Paperback,176,2006,1994,,2022/04/24,to-read,to-read (#14),to-read,,,,0,0
44767458,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,"=""059309932X""","=""9780593099322""",5,4.26,Ace,Hardcover,658,2019,1965,2022/04/24,2022/01/17,,,read,,,,1,0
3919273,Il fu Mattia Pascal,Luigi Pirandello,"Pirandello, Luigi",,"=""8804307668""","=""9788804307662""",4,4.01,Mondadori,Paperback,240,1988,1904,,2016/08/27,,,read,,,,1,0
500400,El amor en los tiempos del cólera,Gabriel García Márquez,"Márquez, Gabriel García",,"=""0307387267""","=""9780307387264""",3,3.93,Vintage Español,Paperback,461,2003,1985,2020/12/30,2020/04/21,,,read,,,,1,0
15810816,Tratados morales,Seneca,"Seneca, Seneca",Pedro Fernández de Navarrete,"=""8467039388""","=""9788467039382""",0,4.13,Austral - Espasa,Mass Market Paperback,240,2012,2013,,2020/12/17,currently-reading,currently-reading (#2),currently-reading,,,,1,0
23620165,Psicopolítica,Byung-Chul Han,"Han, Byung-Chul",Alfredo Bergés,"=""""","=""""",5,4.08,Herder,Paperback,127,2014,2014,2020/12/14,2020/05/16,,,read,,,,1,0
20246542,Odas de Ricardo Reis,Fernando Pessoa,"Pessoa, Fernando",Ricardo Reis,"=""8481302147""","=""9788481302141""",4,4.24,Unidad editorial,Hardcover,95,1999,1933,2020/05/02,2019/01/29,,,read,,,,1,0
42632,Thirst,Mary Oliver,"Oliver, Mary",,"=""0807068969""","=""9780807068960""",5,4.33,Beacon Press,Hardcover,88,2006,2006,2019/11/17,2019/09/20,,,read,,,,1,0
75090,A Good Man Is Hard To Find,Flannery O'Connor,"O'Connor, Flannery",Frederick Asals,"=""0813519772""","=""9780813519777""",4,3.88,Rutgers Univ Pr,Paperback,180,1993,1949,2019/09/20,2019/02/20,,,read,,,,1,0
78708,Il Gattopardo,Giuseppe Tomasi di Lampedusa,"Lampedusa, Giuseppe Tomasi di",,"=""""","=""""",4,4.01,Feltrinelli,Paperback,254,1990,1958,2019/02/17,2018/10/10,,,read,,,,1,0
